,name,location,url,followers,text,datetime,description
0,सिंधु,,False,33,"RT @M_pandit007: देश भक्ति के इस जज्बे को भी सलाम है

#PulwamaAttack https://t.co/vwSIjULYv7",Wed Feb 20 06:57:24 +0000 2019,आत्मा भारत में बसती है।। हिंदु तन मन हिंदु जीवन रग रग हिंदु मेरा परिचय।।
1,Anuj Choudhary,"New Delhi, India",False,36,"Consequences Of Raised Custom Duty By India Up To 200% Against Pakistani Goods Are Showing Off.
100s Of Trucks Are Being Stranded On Sarah Border Due To No Buyers Which Leads To Heavy Losses In Pakistani Market.

See This Video From #Pakistan 

 #ImranKhan 
#PulwamaAttack 
#India https://t.co/q0bx8bLQDD",Wed Feb 20 06:57:24 +0000 2019,INDIAN
2,Hiten Panjankar 🇮🇳,india,False,524,"This is true face of @INCIndia  #PulwamaAttack पर बहस में एंकर ने कांग्रेस प्रवक्ता से पूछा
“कौन चोर है-इमरान खान या भारत के PM”..जवाब आया “दोनो चोर हैं”..और 
नारा सिर्फ श्री मोदी जी के ख़िलाफ़ लगाता रहा..

आखिर कांग्रेस को पाकिस्तान से इतना प्रेम क्यों??

https://t.co/WptoPdrQBb",Wed Feb 20 06:57:25 +0000 2019,🙏I LOVE MY COUNTRY I LOVE MY ARMY 🙏
3,Narendar Pandey,,False,1166,"पाकिस्तान के खिलाफ डिबेट में अगर कोई कहता है कि हिंदुस्तान का प्रधानमंत्री चोर है, अपनी राजनीतिक रोटियां सेकता है तो उसकी मानसिक स्थिति का अंदाजा लगाया जा सकता है । https://t.co/eFwFZvlJNj",Wed Feb 20 06:57:25 +0000 2019,"sociology ; bhu , varanasi,"
4,Teju 🇮🇳,"Hyderabad, India",False,117,"पाकिस्तान के खिलाफ डिबेट में अगर कोई कहता है कि हिंदुस्तान का प्रधानमंत्री चोर है, अपनी राजनीतिक रोटियां सेकता है तो उसकी मानसिक स्थिति का अंदाजा लगाया जा सकता है । https://t.co/eFwFZvlJNj",Wed Feb 20 06:57:25 +0000 2019,
5,Muhammad Waseemakhter,"Lahore, Pakistan",True,180,"اب بھارت کے کسان لال ٹماٹر پاکستان نہیں بھیجیں گے لیکن کیوں🤔

جانئیے اس وڈیو میں، لیکن مسکرانا مت 🤨
 https://t.co/AGzbXQQDoI

#GayHind #Pakistani #PulwamaAttack #Pakistan #PakistanZindabad",Wed Feb 20 06:57:26 +0000 2019,‏لبیک لبیک لبیک یا رسول اللہ
6,Rajesh Singh,भारत,False,160,News channels should not invite politicians on shows connected to the #PulwamaAttack. Please invite geostrategic experts but stop giving platforms to politicians from any party on an issue as sensitive as this,Wed Feb 20 06:57:28 +0000 2019,typing...
7,ਪੰਜਾਬ ਨਾਗਰਿਕ,India,False,4477,"Indian efforts to punish Pakistan economically date back to the Cold War, but results started coming in only since 2007. In light of the #PulwamaAttack, @d_jaishankar takes a look at past Indian attempts at economic sanctions on Pakistan.  
@ThePrintIndia https://t.co/FNDmU6DkxJ",Wed Feb 20 06:57:28 +0000 2019,Against all extremism | No sycophant/IT cell employee|Opinionated| Believe in human rights
8,News18Bangla,"Kolkata, India",True,6427,"#FakeNews #Pulwama #PulwamaAttack #PulwamaEncounter 
সোশ্যাল মিডিয়ার হাত ধরে ছড়িয়ে পড়ছে ভুয়ো খবর
সতর্ক হন জনতা… https://t.co/uB1d1mZspe",Wed Feb 20 06:57:28 +0000 2019,"Welcome to the official Twitter page of Network 18 Bengali regional website. Breaking News, Latest Stories, Features and blogs from India & abroad."
9,Hiten Panjankar 🇮🇳,india,False,524,"Day by day dirty face of some people are coming out which is giving ready-made food to our enemies. In order to be anti modi, these have become anti national elements. Thousands of such example are in open platform. Sir they need to be taken care. 
@narendramodi @rajnathsingh https://t.co/NQlJpnLTsS",Wed Feb 20 06:57:28 +0000 2019,🙏I LOVE MY COUNTRY I LOVE MY ARMY 🙏
10,Dipa Khandolkar,,False,6,"यूॅ तो ज़माने भर में मिलते हैं कई आशिक ,

मगर वतन से खूबसूरत कोई सनम नहीं होता ,

नोटों में लिपट कर,सोने में सिमटकर मरे हैं कई ,

मगर तिरंगे से खूबसूरत कोई कफ़न नहीं होता । 🇮🇳🇮🇳🇮🇳 

#CRPF #Kashmir #India https://t.co/3fEMFvPWLf",Wed Feb 20 06:57:29 +0000 2019,
